Fi'l,Mudari,Masdar,Bengali Meaning,Baab
فَعَلَ,يَفْعَلُ,الفِعْلٌ,কাজ করা,فَتَحَ
فَتَحَ,يَفْتَحُ,الفَتْحٌ,খোলা,فَتَحَ
مَدَحَ,يَمْدَحُ,المَدْحٌ,প্রশংসা করা,فَتَحَ
رَفَعَ,يَرْفَعُ,الرَفْعٌ,উঁচু করা,فَتَحَ
قَطَعَ,يَقْطَعُ,القَطْعٌ,কাটা,فَتَحَ
مَنَعَ,يَمْنَعُ,المَنْعٌ,বাধা দেওয়া,فَتَحَ
طَبَخَ,يَطْبَخُ,الطَبْخٌ,রান্না করা,فَتَحَ
زَرَعَ,يَزْرَعُ,الزَرْعٌ,চাষ করা,فَتَحَ
نَجَحَ,يَنْجَحُ,النَجَاحٌ,সফল হওয়া,فَتَحَ
سَبَحَ,يَسْبَحُ,السِبَاحَةٌ,সাঁতার কাটা,فَتَحَ
قَرَأَ,يَقْرَأُ,القِرَاءَةٌ,পড়া,فَتَحَ
سَالَ,يَسِيلُ,السَيْلٌ,বয়ে চলা,فَتَحَ
مَسَحَ,يَمْسَحُ,المَسْحٌ,মোছা,فَتَحَ
ذَهَبَ,يَذْهَبُ,الذَهَابٌ,যাওয়া,فَتَحَ
بَدَأَ,يَبْدَأُ,البَدْءٌ,শুরু করা,فَتَحَ
جَعَلَ,يَجْعَلُ,الجَعْلٌ,করা,فَتَحَ
نَصَحَ,يَنْصَحُ,النَصِيحَةٌ,উপদেশ দেওয়া,فَتَحَ
جَمَعَ,يَجْمَعُ,الجَمْعٌ,একত্রিত করা,فَتَحَ
ظَهَرَ,يَظْهَرُ,الظُهُورٌ,প্রকাশ পাওয়া,فَتَحَ
رَأَى,يَرَى,الرُؤْيَةٌ,দেখা,فَتَحَ
وَقَعَ,يَقَعُ,الوُقُوعٌ,পড়ে যাওয়া,فَتَحَ
وَضَعَ,يَضَعُ,الوَضْعٌ,রাখা,فَتَحَ
مَلَأَ,يَمْلَأُ,المَلْءٌ,ভরাট করা,فَتَحَ
دَفَعَ,يَدْفَعُ,الدَفْعٌ,ঠেলা,فَتَحَ
